SCHOOL,PROGRAM,DEGREE,ONLINE,ONCAMPUS,COUNTRY,STATE,CITY,DEPARTMENT,URL
Ohio University,Online MBA in Business Analytics,M,T,F,US,OH,Athens,College of Business,http://onlinemasters.ohio.edu/masters-business-administration/
The Ohio State University,Master of Public Health in Biomedical Informatics,M,T,F,US,OH,Columbus,College of Medicine,http://medicine.osu.edu/bmi/education/prospective_students/ms-and-mph-degrees/pages/index.aspx
The Ohio State University,Master of Applied Statistics,M,F,T,US,OH,Columbus,Department of Statistics,http://www.stat.osu.edu/dept/descriptions-programs/master-applied-statistics/quarters
The Ohio State University,Data Analytics,B,F,T,US,OH,Columbus,Interdisciplinary,https://data-analytics.osu.edu/
University of Akron,Data Science,M,F,T,US,OH,Akron,Center for Data Science Analytics and Information Technology,http://uakron.edu/datascience/
University of Cincinnati-Main Campus,Master of Science in Health Informatics,M,T,T,US,OH,Cincinnati,College of Allied Health Sciences,http://mshi.uc.edu/
University of Cincinnati-Main Campus,Master of Science in Business Analytics,M,F,T,US,OH,Cincinnati,Lindner College of Business,https://business.uc.edu/programs/graduate/msbana.html
Oklahoma State University Center for Health Sciences,Graduate Certificate in Business Data Mining,C,F,T,US,OK,Tulsa,Watson Graduate School of Management,http://watson.okstate.edu/datamining/program/
Oklahoma State University Center for Health Sciences,Graduate Certificate in Marketing Analytics,C,T,F,US,OK,Tulsa,Watson Graduate School of Management,http://watson.okstate.edu/marketinganalytics/program/
Southwestern Oklahoma State University,M.S. Healthcare Informatics & Information Management,M,T,F,US,OK,Weatherford,Allied Health,http://www.swosu.edu/academics/him/programs/graduate/curriculum.aspx
University of Oklahoma Norman Campus,Data Science,M,F,T,US,OK,Norman,College of Engineering,http://www.ou.edu/coe/datascience.html
University of Oklahoma Norman Campus,MS in Management Information Systems,M,F,T,US,OK,Norman,Division of Management Information Systems,http://www.ou.edu/price/mis/mis_ms_in_mis.html
Oregon State University,MBA in Business Analytics,M,F,T,US,OR,Corvallis,College of Business,http://business.oregonstate.edu/mba/academics/tracks/business-analytics
Pacific University,Bachelors of Science in Data Science,B,F,T,US,OR,Forest Grove,Mathematics and Computer Science,http://www.pacificu.edu/data-science 
Juniata College,Data Science,B,F,T,US,PA,Huntingdon,,https://www.juniata.edu/academics/departments/data-science/
Juniata College,Masters of Data Science,M,T,F,US,PA,Huntingdon,,https://www.juniata.edu/academics/graduate-programs/data-science.php
Albright College,M.S. in Business Intelligence,M,F,T,US,PA,Reading,Erivan K. Haub School of Business,http://www.albright.edu/accelerated/masters-degree-articulations.html
Carnegie Mellon University,Master of Computational Data Science (MCDS),M,F,T,US,PA,Pittsburgh,School of Computer Science,http://mcds.cs.cmu.edu/?q=node/6
Carnegie Mellon University,MBA: Business Analytics Track,M,T,F,US,PA,Pittsburgh,Tepper School of Business,http://tepper.cmu.edu/prospective-students/masters/mba/curriculum/tracks-and-capstones/business-analytics
Carnegie Mellon University,"Master of Information Systems Management, Business Intelligence and Data Analytics (MISM-BIDA)",M,F,T,US,PA,Pittsburgh,Heinz College,http://www.heinz.cmu.edu/school-of-information-systems-and-management/information-technology-msit/curriculum/msit-bida/index.aspx
Carnegie Mellon University,"Master of Science in Information Technology, Business Intelligence and Data Analytics (MSIT-BIDA)",M,F,T,US,PA,Pittsburgh,Heinz College,http://www.heinz.cmu.edu/school-of-information-systems-and-management/information-technology-msit/curriculum/msit-bida/index.aspx
Carnegie Mellon University,Machine Learning,D,F,T,US,PA,Pittsburgh,,http://www.ml.cmu.edu/prospective-students/PhD%20Programs.html
Carnegie Mellon University,Master of Statistical Practice,M,F,T,US,PA,Pittsburgh,Statistics,http://www.stat.cmu.edu/academics/graduate/the-masters-in-statistical-practice-program
Drexel University,Information Studies,D,F,T,US,PA,Philadelphia,Computing and Informatics,http://drexel.edu/cci/academics/graduate-programs/phd-information-studies/
Drexel University,Certificate in Healthcare Informatics,C,F,T,US,PA,Philadelphia,Drexel University's Institute for Healthcare Informatics,http://drexel.edu/cci/programs/professional-development-programs/certificate-in-healthcare-informatics/
Drexel University,Online Master's in Health Informatics,M,T,F,US,PA,Philadelphia,College of Computing and Informatics with support from Drexel University's,http://www.drexel.com/online-degrees/information-sciences-degrees/ms-hci/index.aspx
Drexel University,M.S. in Business Analytics,M,F,T,US,PA,Philadelphia,LeBow College of Business,http://www.lebow.drexel.edu/academics/programs/masters/business-analytics
Harrisburg University of Science and Technology,Online Master of Science in Analytics,M,T,T,US,PA,Harrisburg,Graduate Education,http://www.harrisburgu.edu/academics/graduate/analytics/online-analytics.php
La Salle University,M.S. in Analytics,M,F,T,US,PA,Philadelphia,College of Professional & Continuing Studies,http://www.lasalle.edu/analytics/
Misericordia University,Health Care Informatics Graduate Certificate,C,T,T,US,PA,Dallas,College of Health Sciences,http://www.misericordia.edu/misericordia_pg_sub.cfm?sub_page_id=3990&subcat_id=108&page_id=989
Misericordia University,Health Informatics Master's Program,M,T,F,US,PA,Dallas,College of Health Sciences,http://www.misericordia.edu/misericordia_pg_sub.cfm?sub_page_id=4235&subcat_id=108
Lehigh University,Data Science Minor,B,F,T,US,PA,Bethlehem,Computer Science and Engineering,https://engineering.lehigh.edu/academics/undergraduate/minors/data-science-minor
Pennsylvania State University,Data Sciences,B,F,T,US,PA,University Park,Interdisciplinary: Statistics/Computer Sciences/Information Science & Tech,http://datasciences.psu.edu/
Pennsylvania State University,Social Data Analytics,D,F,T,US,PA,University Park,Interdisciplinary,http://bdss.psu.edu/education
Pennsylvania State University,Graduate Certificate in Applied Statistics,C,F,T,US,PA,University Park,Eberly College of Science,http://www.worldcampus.psu.edu/degrees-and-certificates/applied-statistics-certificate/courses
Pennsylvania State University,Master of Applied Statistics,M,T,F,US,PA,University Park,Eberly College of Science,http://www.worldcampus.psu.edu/degrees-and-certificates/applied-statistics-masters/overview
Pennsylvania State University,Graduate Certificate in Business Analytics,C,T,F,US,PA,University Park,Smeal College of Business,http://www.worldcampus.psu.edu/degrees-and-certificates/business-analytics-certificate/overview
Pennsylvania State University,Master of Professional Studies in Data Analytics,M,F,T,US,PA,University Park,Penn State World Campus,http://www.worldcampus.psu.edu/degrees-and-certificates/data-analytics-base/overview
Pennsylvania State University,Master of Professional Studies in Data Analytics,M,F,T,US,PA,University Park,Penn State World Campus,http://www.worldcampus.psu.edu/degrees-and-certificates/data-analytics-business/overview
Pennsylvania State University,Graduate Certificate in Business Analytics,C,F,T,US,PA,University Park,Penn State World Campus,https://www.worldcampus.psu.edu/degrees-and-certificates/business-analytics-certificate/overview
Philadelphia University,"M.S. in Modeling, Simulation and Data Analytics",M,F,T,US,PA,Philadelphia,"Kanbar College of Design, Engineering, and Commerce",http://www.philau.edu/msda/curriculum.html
Saint Joseph's University,Online Master of Science in Business Intelligence & Analytics,M,T,F,US,PA,Philadelphia,Erivan K. Haub School of Business,http://online.sju.edu/programs/business-intelligence-course.asp
Saint Joseph's University,Online Master's in Health Administration: Informatics Specialization,M,F,T,US,PA,Philadelphia,St Joseph's University Online,http://online.sju.edu/programs/masters-health-administration-informatics.asp
Saint Joseph's University,Master of Science in Business Intelligence & Analytics Program,M,T,F,US,PA,Philadelphia,Erivan K. Haub School of Business,http://www.sju.edu/int/academics/hsb/grad/msbi/
Temple University,Master of Science in Health Informatics,M,T,F,US,PA,Philadelphia,Health Information Management Department (College of Health Professions) an,http://chpsw.temple.edu/him/degrees-offered/master-science-health-informatics
University of Pittsburgh-Bradford,Master's Degree in Biomedical Informatics,M,T,F,US,PA,Bradford,Department of Biomedical Informatics,http://www.dbmi.pitt.edu/training-programs
University of Pittsburgh-Bradford,Master's Degree in Biostatistics,M,F,F,US,PA,Bradford,Graduate School of Public Health,http://www.publichealth.pitt.edu/Portals/0/BIOSTAT/BIOST%20MS%20Brochure.pdf
University of Pittsburgh-Pittsburgh Campus,MSIS - Big Data Analytics,M,T,T,US,PA,Pittsburgh,School of Information Sciences,http://www.ischool.pitt.edu/ist/degrees/specializations/big-data.php
Villanova University,Graduate Certificate in Applied Statistics,C,F,T,US,PA,Villanova,Liberal Arts and Sciences,http://www1.villanova.edu/content/dam/villanova/artsci/gradstudies/AppliedStatisticsGraduateInformationSheet.pdf
Villanova University,Master of Science in Applied Statistics,M,F,T,US,PA,Villanova,Liberal Arts and Sciences,http://www1.villanova.edu/villanova/artsci/mathematics/academic-programs/graduate/programs/msapplied.html
